IDEstudiante;Nombres;Apellidos;Email;IDGrupo
CATO01;Carlos Fernando;Tovar Yepes;carlosfernandotovar@correoe.com;1
CEIB01;Cesar Augusto;Ibañez Lar;cesaraugustoibañez@correoe.co;2
JUBE01;Juan Carlos;Bermudez Ramirez;juancarlosbermudez@correoe.com;3
MAHE01;Marlyn Sofia;Herrera Rodriguez;marlynsofiaherrera@correoe.com;4
MABU01;Mateo;Bustos Aguilar;mateobustosaguilar@correoe.com;5
MAMA01;Mariana;Manrique Ramirez;marianamanriqueramirez@correoe.com;6
BRMA01;Brayan Stiven;Marin Monje;brayanstivenmarin@correoe.com;7
DAGR01;Daniel Alberto;Gross Ramirez;danielalbertogross@correoe.com;8
JOME01;Jose Luis;Meza Villamarin;joseluismeza@correoe.com;9
KACA01;Karen Valentina;Castellanos Gomez;karenvalentinacastellanos@correoe.com;10
VIAR01;Viviana Katherine;Arevalo Sarmiento;vivianakatherinearevalo@correoe.com;1
JERO01;Jessica Melissa;Rojo Cadena;jessicamelissarojo@correoe.com;2
LAES01;Laura Daniela;Espejo Parada;lauradanielaespejo@correoe.com;3
SAGA01;Sara;Gañan Isaz;saragañanisaza@correoe.co;4
KECE01;Kelly Katterine;Ceballos Uribe;kellykatterineceballos@correoe.com;5
JONI01;Jose Gregorio;Nieto Aranguren;josegregorionieto@correoe.com;6
RODE01;Roberto ;Del Castillo Martinez;robertodel castillo@correoe.com;7
JAZA01;Jaider Alexander;Zapata Osorio;jaideralexanderzapata@correoe.com;8
JOME02;Johan Stiven;Mejia Gomez;johanstivenmejia@correoe.com;9
BRPE01;Bryan Andres;Pelaez Forero;bryanandrespelaez@correoe.com;1
JOUR01;Johan Andres;Uran Ramirez;johanandresuran@correoe.com;2
INMO01;Ingrid Johanna;Moreno Celis;ingridjohannamoreno@correoe.com;3
DAMA01;Daniel Oswaldo;Manosalva Sierra;danieloswaldomanosalva@correoe.com;4
JUGI01;Juan Felipe;Giraldo Cardenas;juanfelipegiraldo@correoe.com;5
FEPU01;Fernando Andres;Pulido Toro;fernandoandrespulido@correoe.com;6
SACA01;Sait Andre;Caro Cuellar;saitandrecaro@correoe.com;7
VIMA01;Viviana Marcela;Martinez Sepulveda;vivianamarcelamartinez@correoe.com;8
LECA01;Leidy Victoria;Cardenas Gaon;leidyvictoriacardenas@correoe.com;9
STMA01;Stiven Alexander;Mayorga Barrero;stivenalexandermayorga@correoe.com;10
DAHE01;Daniel Ricardo;Hernandez Susa;danielricardohernandez@correoe.com;1
ANMA01;Andres Camilo;Mazorra Giraldo;andrescamilomazorra@correoe.com;2
YOGA01;Yonathan Stiven;Gaviria Yatacue;yonathanstivengaviria@correoe.com;3
ANTO01;Andres Felipe;Torres Leon;andresfelipetorres@correoe.com;4
ANTE01;Angie Tatiana;Tequia Villamarin;angietatianatequia@correoe.com;5
OSLU01;Oscar Leonardo;Luengas Machado;oscarleonardoluengas@correoe.com;6
JUYU01;Juan Pablo;Yusunguaira Lemos;juanpabloyusunguaira@correoe.com;7
EDSE01;Edgar Hernando;Sepulveda Oviedo;edgarhernandosepulveda@correoe.com;8
JOCA01;Jose Alexander;Carrero Jimenez;josealexandercarrero@correoe.com;9
LUCA01;Luis Miguel;Canon Beltran;luismiguelcanon@correoe.com;10
SABE01;Santiago;Becerra Villalba;santiagobecerravillalba@correoe.com;1
ERCA01;Erika Viviana;Castro Villalobos;erikavivianacastro@correoe.com;2
NYRE01;Nydia Marcela;Reyes Maldonado;nydiamarcelareyes@correoe.com;3
JOAN01;Jose;Anibal Angulo;joseanibalangulo@correoe.com;4
JUDU01;Juan Esteban;Dulcey Gomez;juanestebandulcey@correoe.com;5
JETA01;Jersson Andres;Tapias Duque;jerssonandrestapias@correoe.com;6
XIQU01;Ximena;Quintero Salazar;ximenaquinterosalazar@correoe.com;7
JUQU01;Juan Carlos;Quinonez Bernal;juancarlosquinonez@correoe.com;8
ANCA01;Ana Paulina;Castillo Velasquez;anapaulinacastillo@correoe.com;9
CAVA01;Carlos Enrique;Valencia Torres;carlosenriquevalencia@correoe.com;10
MAMA02;Manuel Fernando;Manrique Corredor;manuelfernandomanrique@correoe.com;1
JHPA01;Jhon Fernando;Parra;jhonfernandoparra@correoe.com;2
ANAL01;Angie Janexy;Alvernia Arias;angiejanexyalvernia@correoe.com;3
FRRE01;Fredy Camilo;Reyes Gomez;fredycamiloreyes@correoe.com;4
CHVA01;Christian David;Vargas Gutierrez;christiandavidvargas@correoe.com;5
MINA01;Miguel Angel;Narvaez Velasco;miguelangelnarvaez@correoe.com;6
ANAR01;Angel Alexander;Arboleda Cortes;angelalexanderarboleda@correoe.com;7
JHGO01;Jhoan David;Gomez Suarez;jhoandavidgomez@correoe.com;8
NIMU01;Nicolas;Munevar;nicolasmunevar@correoe.com;9
ANRU01;Andres Felipe;Ruiz Ramirez;andresfeliperuiz@correoe.com;10
ERPA01;Ervin Antonio;Parra Berdugo;ervinantonioparra@correoe.com;1
ALRO01;Alexi Javier;Rojas Cañ;alexijavierrojas@correoe.com;2
JURE01;Juan Felipe;Rendon Genez;juanfeliperendon@correoe.com;3
DALE01;Dayana Michell;Leiton Florez;dayanamichellleiton@correoe.com;4
STVE01;Stefania;Vega Montoya;stefaniavegamontoya@correoe.com;5
JUGA01;Juan Pablo;Garcia Henao;juanpablogarcia@correoe.com;6
LUVE01;Luis Enrique;Vera Varela;luisenriquevera@correoe.com;7
SIZA01;Sidny Yuliana;Zapata Hoyos;sidnyyulianazapata@correoe.com;8
JUCA01;Julian Eduardo;Callejas Pomarico;julianeduardocallejas@correoe.com;9
FEMO01;Ferney Sadid;Molina Sanchez;ferneysadidmolina@correoe.com;10
